issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,This issue requires human assistance. Our support team will review your case and respond via email within 24-48 hours.,account_management,escalated,product_issue,Identified as Claude ticket; classified under ; Escalated: Contains high-risk keyword: immediately; Request type: 
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,This issue requires human assistance. Our support team will review your case and respond via email within 24-48 hours.,screen,escalated,product_issue,Identified as Hackerrank ticket; classified under ; Escalated: Contains high-risk keyword: review my answers; Request type: 
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,This issue requires human assistance. Our support team will review your case and respond via email within 24-48 hours.,merchant_support,escalated,product_issue,Identified as Visa ticket; classified under ; Escalated: Contains high-risk keyword: ban; Request type: 
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Thank you for contacting HackerRank Support.


Regarding your issue, here's relevant information from our documentation:

# July 2025 Release Notes Screen Screen Features Available in the AI Add-on Package Skills Platform Developer Experience Interview Interview Features Available in the AI Add-on Package SkillUp Engage
_Last updated: Sep 19, 2025, 3:43 PM (Last updated 7 months ago)_
AI is changing how software is built, and thus changing how you hire and upskill developers. This release helps you stay ahead of the curve.
With AI assistance in the IDE, you can now go beyond evaluating code correctness to assessing how candidates work in a real-world setting: how they use AI to write clean, efficient code and make tradeoffs. We’ve also added powerful productivity enhancements like Scorecard Assist to help you save time and surface stronger signals, faster. Some of these new capabilities are available as part of the **AI Add-on package** – look for them in the updates below.
On the developer side, new subscription plans and an AI-powered prep kit make it easier than ever for candidates to practice, certify, and grow. With SkillUp, your teams can build GenAI skills like Prompt Engineering, RAG, and Agent Building, and even launch custom certifications aligned to your needs.


For more details, visit: https://support.hackerrank.com/articles/3121307537-july-2025-release-notes",interview,replied,product_issue,Identified as Hackerrank ticket; classified under interview; Response grounded in 8 relevant document(s); Request type: product issue
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"Thank you for contacting HackerRank Support.


Regarding your issue, here's relevant information from our documentation:

- [Assessing Candidates on Prompt Engineering Skills](uncategorized/1231590424-assessing-candidates-on-prompt-engineering-skills.md) - [Browser Recommendations](uncategorized/5897755717-browser-recommendations.md)
- [Execution Environment Coding and Database Front-End, Back-End, Full Stack, Mobile, Data Science and DevOps](uncategorized/6693750503-execution-environment.md) - [Onboarding Candidates](uncategorized/9695299159-onboarding-candidates.md)
- [Introduction to Chakra Key features How-to guides](chakra/getting-started/6908366644-introduction-to-chakra.md)
- [Ashby - Chakra Integration User Guide Prerequisites Adding an AI Interviewer activity in Ashby Scheduling HackerRank AI Interview from Ashby Viewing Interview results](chakra/integrations/8472393759-ashby-chakra-integration-user-guide.md)
- [Greenhouse - Chakra Integration User Guide Prerequisites Adding an AI Interviewer stage in Greenhouse Scheduling an AI Interview from Greenhouse Viewing interview results](chakra/integrations/8491534135-greenhouse-chakra-integration-user-guide.md)",billing,replied,product_issue,Identified as Hackerrank ticket; classified under billing; Response grounded in 8 relevant document(s); Request type: product issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,This issue requires human assistance. Our support team will review your case and respond via email within 24-48 hours.,general,escalated,feature_request,Identified as Hackerrank ticket; classified under ; Escalated: Enterprise security process requires solution engineering; Request type: 
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"Thank you for contacting HackerRank Support.


Regarding your issue, here's relevant information from our documentation:

- [Assessing Candidates on Prompt Engineering Skills](uncategorized/1231590424-assessing-candidates-on-prompt-engineering-skills.md) - [Browser Recommendations](uncategorized/5897755717-browser-recommendations.md)
- [Execution Environment Coding and Database Front-End, Back-End, Full Stack, Mobile, Data Science and DevOps](uncategorized/6693750503-execution-environment.md) - [Onboarding Candidates](uncategorized/9695299159-onboarding-candidates.md)
- [Introduction to Chakra Key features How-to guides](chakra/getting-started/6908366644-introduction-to-chakra.md)
- [Ashby - Chakra Integration User Guide Prerequisites Adding an AI Interviewer activity in Ashby Scheduling HackerRank AI Interview from Ashby Viewing Interview results](chakra/integrations/8472393759-ashby-chakra-integration-user-guide.md)
- [Greenhouse - Chakra Integration User Guide Prerequisites Adding an AI Interviewer stage in Greenhouse Scheduling an AI Interview from Greenhouse Viewing interview results](chakra/integrations/8491534135-greenhouse-chakra-integration-user-guide.md)",candidates,replied,product_issue,Identified as Hackerrank ticket; classified under candidates; Response grounded in 8 relevant document(s); Request type: product issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Thank you for contacting HackerRank Support.


Regarding your issue, here's relevant information from our documentation:

# January 2026 Release Notes Screen Skills Platform Developer Experience Integrity Interview Data and Insights Integrations SkillUp Deprecations and Experience Changes
_Last updated: Mar 2, 2026, 4:15 PM (Last updated 2 months ago)_
Modern software development is defined by how effectively developers orchestrate AI across the software development lifecycle, while applying judgement and demonstrating strong fundamentals. As these workflows become standard, hiring and upskilling must evolve to assess not just outcomes, but how developers arrive at them.
HackerRank’s January release strengthens how you assess real-world, AI-assisted development while protecting that signal at scale. Candidates now experience a consistent, modern environment across all question types with the new candidate site fully rolled out**,** and faster Code Repo assessments through quicker installs and builds.
Integrity is central to this release. New detection signals, including object detection in webcam feeds and deleted code analysis, help identify potential policy violations without penalizing legitimate workflows. Clear, interpretable flags and reports highlight suspicious activity with supporting evidence, while override controls ensure human judgment remains part of the evaluation process, keeping assessments fair, auditable, and trustworthy.


For more details, visit: https://support.hackerrank.com/articles/2321596225-january-2026-release-notes",screen,replied,bug,Identified as Hackerrank ticket; classified under screen; Response grounded in 8 relevant document(s); Request type: bug
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Thank you for contacting HackerRank Support.


Regarding your issue, here's relevant information from our documentation:

- [Assessing Candidates on Prompt Engineering Skills](uncategorized/1231590424-assessing-candidates-on-prompt-engineering-skills.md) - [Browser Recommendations](uncategorized/5897755717-browser-recommendations.md)
- [Execution Environment Coding and Database Front-End, Back-End, Full Stack, Mobile, Data Science and DevOps](uncategorized/6693750503-execution-environment.md) - [Onboarding Candidates](uncategorized/9695299159-onboarding-candidates.md)
- [Introduction to Chakra Key features How-to guides](chakra/getting-started/6908366644-introduction-to-chakra.md)
- [Ashby - Chakra Integration User Guide Prerequisites Adding an AI Interviewer activity in Ashby Scheduling HackerRank AI Interview from Ashby Viewing Interview results](chakra/integrations/8472393759-ashby-chakra-integration-user-guide.md)
- [Greenhouse - Chakra Integration User Guide Prerequisites Adding an AI Interviewer stage in Greenhouse Scheduling an AI Interview from Greenhouse Viewing interview results](chakra/integrations/8491534135-greenhouse-chakra-integration-user-guide.md)",settings,replied,bug,Identified as Hackerrank ticket; classified under settings; Response grounded in 8 relevant document(s); Request type: bug
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Thank you for contacting HackerRank Support.


Regarding your issue, here's relevant information from our documentation:

# April 2026 Release Notes Screen Interview Platform Chakra (AI Interviewer) SkillUp Community Deprecations and Experience Changes
_Last updated: Apr 23, 2026, 1:43 AM (Last updated 4 days ago)_
HackerRank’s April release advances how you hire for the agentic world, focusing on how developers think, collaborate with AI, and iterate toward better solutions. With expanded support for AI-assisted workflows across coding, data science, and code repository questions, you can better assess how candidates utilize AI tools in environments that closely reflect real-world development.
As campus hiring scales up, this release strengthens assessment integrity so you can hire with confidence. We are introducing new detection capabilities, including object detection for external devices and analyzing code to identify suspicious communication and flag potential external assistance. Combined with standardized integrity reports and improved session replay, these updates help teams identify top talent while maintaining a fair and transparent evaluation process.
To accelerate screening, Chakra, our AI interviewer, continues to evolve with improved reporting and new ATS integrations. Faster, more structured interview analysis and quantitative scoring help teams compare candidates and identify top talent with richer insight into both technical ability and AI fluency.


For more details, visit: https://support.hackerrank.com/articles/4368819843-april-2026-release-notes",screen,replied,invalid,Identified as Hackerrank ticket; classified under screen; Response grounded in 8 relevant document(s); Request type: invalid
